TRADE_DATE,PAIR,BASE_CURRENCY,QUOTE_CURRENCY,OPEN_RATE,HIGH_RATE,LOW_RATE,CLOSE_RATE,DAILY_CHANGE_PCT,MOVING_AVG_7D,MOVING_AVG_30D
2026-01-29,GBPUSD=X,GBP,USD,1.382341980934143,1.3846771717071533,1.3748350143432617,1.382533073425293,0.006915745012859664,1.362160222870963,1.3574868705537584
2026-01-29,JPYUSD=X,JPY,USD,0.0065306550823152065,0.0065462589263916016,0.006514403503388166,0.006531849503517151,-0.4199925870715603,0.006422566915197032,0.006403088362680541
2026-01-30,AUDUSD=X,AUD,USD,0.7048999667167664,0.7055171132087708,0.6969097852706909,0.7047300934791565,0.10656327675048555,0.6929560048239571,0.6863609671592712
2026-01-30,EURUSD=X,EUR,USD,1.1967878341674805,1.1973466873168945,1.187394618988037,1.19657301902771,-0.10051075467065486,1.1874809094837733,1.1811560273170472
2026-01-30,GBPUSD=X,GBP,USD,1.3809102773666382,1.3814444541931152,1.371478796005249,1.380643367767334,-0.13668430030951423,1.3673827137265886,1.359802520275116
2026-01-30,JPYUSD=X,JPY,USD,0.006529673933982849,0.00653231842443347,0.0064622024074196815,0.006529034581035376,-0.043095335865585324,0.006452053120093686,0.006415682984516025
2026-02-02,AUDUSD=X,AUD,USD,0.6948497891426086,0.6970924139022827,0.6910181641578674,0.6946277618408203,-1.4335036536416867,0.6956914833613804,0.6871124939485029
2026-02-02,EURUSD=X,EUR,USD,1.185044765472412,1.1875073909759521,1.179078459739685,1.1849182844161987,-0.9740094775813538,1.1899982350213187,1.1814980506896973
2026-02-02,GBPUSD=X,GBP,USD,1.3681013584136963,1.371441125869751,1.36275053024292,1.3679141998291016,-0.9219736418114269,1.3710933753422327,1.3605399456891147
2026-02-02,JPYUSD=X,JPY,USD,0.006445998791605234,0.006469602696597576,0.006423226557672024,0.006443215999752283,-1.3144145618766714,0.006470955376114164,0.006418185985901139
2026-02-03,AUDUSD=X,AUD,USD,0.6958801746368408,0.7049998641014099,0.6956812143325806,0.6955500841140747,0.13277935664566087,0.6973342554909843,0.6878156264623007
2026-02-03,EURUSD=X,EUR,USD,1.1799131631851196,1.1824523210525513,1.178078293800354,1.1798714399337769,-0.4259234201038953,1.1906282901763916,1.1813624997933705
2026-02-03,GBPUSD=X,GBP,USD,1.3674278259277344,1.3707268238067627,1.3652622699737549,1.367315649986267,-0.04375638785745858,1.3735486268997192,1.3611045877138774
2026-02-03,JPYUSD=X,JPY,USD,0.006430743727833033,0.006438652519136667,0.006407381035387516,0.0064332266338169575,-0.15503695570208534,0.006488686560520104,0.0064194393732274575
2026-02-04,AUDUSD=X,AUD,USD,0.7021288871765137,0.7042198777198792,0.6981499791145325,0.7022520899772644,0.9635547484299527,0.6988845723015922,0.6889261236557593
2026-02-04,EURUSD=X,EUR,USD,1.1816281080245972,1.1838523149490356,1.1792314052581787,1.1816140413284302,0.14769417545619445,1.190023762839181,1.1813818491422212
2026-02-04,GBPUSD=X,GBP,USD,1.3697504997253418,1.3733245134353638,1.3644241094589233,1.3697504997253418,0.17807517518717508,1.3740485736301966,1.3617696578686054
2026-02-04,JPYUSD=X,JPY,USD,0.006417867261916399,0.006417867261916399,0.00637572119012475,0.006418526638299227,-0.22850112944037418,0.006484945969922202,0.006419369162848363
2026-02-05,AUDUSD=X,AUD,USD,0.6995198726654053,0.7008199691772461,0.6942197680473328,0.699440062046051,-0.40042998395411245,0.7000228592327663,0.6896771192550659
2026-02-05,EURUSD=X,EUR,USD,1.1802334785461426,1.1820470094680786,1.1780505180358887,1.180163860321045,-0.12272882317434948,1.188954540661403,1.1812948499407088
2026-02-05,GBPUSD=X,GBP,USD,1.364628791809082,1.3654673099517822,1.3521188497543335,1.3644611835479736,-0.38615179760319573,1.3735793488366264,1.361961909702846
2026-02-05,JPYUSD=X,JPY,USD,0.006373323500156403,0.006387204863131046,0.006356147583574057,0.006372795440256596,-0.7124874697840149,0.006469721041087594,0.006416042468377522
2026-02-06,AUDUSD=X,AUD,USD,0.6915500164031982,0.7020007371902466,0.6897897720336914,0.6916399002075195,-1.1152008959443809,0.6988885572978428,0.6898079713185629
2026-02-06,EURUSD=X,EUR,USD,1.1777453422546387,1.1826481819152832,1.176747441291809,1.177786946296692,-0.20140542379483012,1.1855292149952479,1.1810609896977742
2026-02-06,GBPUSD=X,GBP,USD,1.3521188497543335,1.3615630865097046,1.3509862422943115,1.3520822525024414,-0.9072395165792557,1.369242889540536,1.3613032658894857
2026-02-06,JPYUSD=X,JPY,USD,0.00637873075902462,0.0063881841488182545,0.006364116910845041,0.0063782017678022385,0.08483447485998658,0.00644383579492569,0.006413519755005837
2026-02-09,AUDUSD=X,AUD,USD,0.7034723162651062,0.709149956703186,0.7014698386192322,0.7033699154853821,1.695971454848553,0.6988014153071812,0.690655592828989
2026-02-09,EURUSD=X,EUR,USD,1.1826202869415283,1.1925204992294312,1.1817816495895386,1.182578206062317,0.4068019076531734,1.1833579710551672,1.1811558157205582
2026-02-09,GBPUSD=X,GBP,USD,1.3608589172363281,1.3691691160202026,1.3588618040084839,1.3608959913253784,0.6518641012131099,1.3661518778119768,1.361277811229229
2026-02-09,JPYUSD=X,JPY,USD,0.0063590980134904385,0.0064295451156795025,0.0063590980134904385,0.006359543185681105,-0.2925367180342911,0.006419220606663397,0.006410146219423041
2026-02-10,AUDUSD=X,AUD,USD,0.7084701657295227,0.7092998623847961,0.7065000534057617,0.7083597779273987,0.7094222161283644,0.6993199416569301,0.6916970154818367
2026-02-10,EURUSD=X,EUR,USD,1.1904761791229248,1.192847728729248,1.1890182495117188,1.1904053688049316,0.6618727372523798,1.1824768781661987,1.1816999070784624
2026-02-10,GBPUSD=X,GBP,USD,1.3683072328567505,1.3698630332946777,1.3653740882873535,1.368344783782959,0.5473447276691716,1.3643949372427804,1.3616935154970955
2026-02-10,JPYUSD=X,JPY,USD,0.006405247375369072,0.006490387488156557,0.006398566532880068,0.0064048366621136665,0.7122127346275888,0.006401478046817439,0.006409833892522489
2026-02-11,AUDUSD=X,AUD,USD,0.7073901295661926,0.7135899662971497,0.7073901295661926,0.7074797749519348,-0.1242310761967149,0.7011559435299465,0.6925738354523977
2026-02-11,EURUSD=X,EUR,USD,1.188792109489441,1.192733883857727,1.1839083433151245,1.1889617443084717,-0.1212716721791368,1.1830545152936662,1.1821033424801297
2026-02-11,GBPUSD=X,GBP,USD,1.3633265495300293,1.371290683746338,1.361952543258667,1.3634566068649292,-0.35723283897175484,1.3637581382478987,1.3617914650175307
2026-02-11,JPYUSD=X,JPY,USD,0.006472408305853605,0.006543474737554789,0.006470565218478441,0.006473246496170759,1.068096466249565,0.006405768117734364,0.006413356814947393
2026-02-12,AUDUSD=X,AUD,USD,0.7124699354171753,0.7147298455238342,0.7087001800537109,0.7125298380851746,0.7138102475908714,0.703581622668675,0.6936241513804385
2026-02-12,EURUSD=X,EUR,USD,1.1875356435775757,1.1890605688095093,1.1853257417678833,1.1876062154769897,-0.1140094572403876,1.184159483228411,1.1823929673747013
2026-02-12,GBPUSD=X,GBP,USD,1.3623793125152588,1.367128849029541,1.360544204711914,1.362399697303772,-0.0775169195584036,1.3630558592932565,1.3618234772431224
2026-02-12,JPYUSD=X,JPY,USD,0.006525753997266293,0.006566936615854502,0.0065045724622905254,0.0065244766883552074,0.7914142032866105,0.006418803839811257,0.006419205229337278
2026-02-13,AUDUSD=X,AUD,USD,0.7087298035621643,0.7096999883651733,0.7045498490333557,0.7087101936340332,-0.5360679998196459,0.7045042089053563,0.6943784534931183
2026-02-13,EURUSD=X,EUR,USD,1.1869717836380005,1.1879446506500244,1.1848762035369873,1.1868449449539185,-0.0641012579043747,1.1849067551749093,1.1826155662536622
2026-02-13,GBPUSD=X,GBP,USD,1.361952543258667,1.364628791809082,1.3592127561569214,1.3620266914367676,-0.027378592915323147,1.3619524581091744,1.3618336379528047
2026-02-13,JPYUSD=X,JPY,USD,0.006546344608068466,0.006546859163790941,0.00650808634236455,0.0065436032600700855,0.2931510468726927,0.0064366719286356655,0.006425425130873919
2026-02-16,AUDUSD=X,AUD,USD,0.7070286273956299,0.7096476554870605,0.7068701386451721,0.7070400714874268,-0.2356565718411086,0.7055899245398385,0.6949813876833234
2026-02-16,EURUSD=X,EUR,USD,1.186704158782959,1.1870845556259155,1.1847639083862305,1.1867464780807495,-0.00829652378666604,1.1858471291405814,1.1828122763406663
2026-02-16,GBPUSD=X,GBP,USD,1.3647406101226807,1.3662508726119995,1.3627134561538696,1.3647778034210205,0.20198664251952736,1.3619976895196098,1.361973836308434
2026-02-16,JPYUSD=X,JPY,USD,0.006545017007738352,0.006545787677168846,0.0065096113830804825,0.006545402109622955,0.027490198922153635,0.006461330024259431,0.006431138320338158
2026-02-17,AUDUSD=X,AUD,USD,0.7074001431465149,0.7076299786567688,0.7030000686645508,0.7072985768318176,0.03656162568651049,0.7078268783433097,0.6955412599173459
2026-02-17,EURUSD=X,EUR,USD,1.1850868463516235,1.1852554082870483,1.180553913116455,1.1849884986877441,-0.148134367826264,1.186875922339303,1.1829111955382607
2026-02-17,GBPUSD=X,GBP,USD,1.36286199092865,1.3629549741744995,1.349800944328308,1.3627691268920898,-0.14717974778719398,1.363524385860988,1.3620099858804182
2026-02-17,JPYUSD=X,JPY,USD,0.00651253666728735,0.006548745557665825,0.006498274859040976,0.00651003560051322,-0.5403259955219581,0.006480163428932428,0.006434724560346116
2026-02-18,AUDUSD=X,AUD,USD,0.7087674736976624,0.7089182138442993,0.7039278745651245,0.7039278745651245,-0.4765600238857267,0.7079065867832729,0.6959058953368146
2026-02-18,EURUSD=X,EUR,USD,1.1856770515441895,1.1860989332199097,1.178828239440918,1.1791062355041504,-0.4963983355203672,1.1863799265452795,1.1827457624932993
2026-02-18,GBPUSD=X,GBP,USD,1.356539249420166,1.3582342863082886,1.3500378131866455,1.3503841161727905,-0.9088120999295296,1.3620226894106184,1.3615045132844343
2026-02-18,JPYUSD=X,JPY,USD,0.006525328382849693,0.006533385720103979,0.0064570289105176926,0.006459405645728111,-0.7777216269157905,0.00649442949465343,0.006435797651014898
