TRADE_DATE,TICKER,COMPANY_NAME,SECTOR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,VOLUME,DAILY_RETURN_PCT,CUMULATIVE_RETURN_PCT,MOVING_AVG_7D,MOVING_AVG_30D,VOLATILITY_30D,VOLUME_AVG_20D,PRICE_VS_52W_HIGH,PRICE_VS_52W_LOW
2026-01-22,META,"Meta Platforms, Inc.",Communication Services,629.3499755859375,660.5700073242188,626.5499877929688,647.6300048828125,21394700,5.656157280629773,7.202213155878892,621.5700073242188,621.5700073242188,2.9648049594444945,17019666.666,81.33500846251962,134.97915900016935
2026-01-22,MSFT,Microsoft Corporation,Technology,447.6199951171875,452.8399963378906,444.70001220703125,451.1400146484375,25349400,1.582947812197906,-0.7436360219424158,449.92332967122394,449.92332967122394,2.7388203837829503,29819966.666,81.22063455728463,130.84486633847777
2026-01-22,NVDA,NVIDIA Corporation,Technology,184.75,186.1699981689453,183.92999267578125,184.83999633789062,139636600,0.8291451848917019,3.801869340829251,182.07667032877603,182.07667032877603,1.4984536402432944,187787633.333,87.11060669112146,213.391822140257
2026-01-22,TSLA,"Tesla, Inc.",Consumer Cyclical,435.1600036621094,449.5,432.6300048828125,449.3599853515625,71546700,4.153528372137898,7.181868897212283,433.34999593098956,433.34999593098956,0.8810230476167571,67619333.333,90.08279080078634,209.73628254448658
2026-01-22,V,Visa Inc.,Financial Services,325.7881853155845,327.7142368080782,323.33325615728353,325.6883850097656,6938700,0.3320158682450927,0.1657328045176033,325.1495056152344,325.1495056152344,0.35196146183710614,8064400.000,86.7322801016659,108.92588127416911
2026-01-23,AAPL,AAPL,,247.08880782235642,249.17685039145397,244.45126111041233,247.80812072753906,41689000,-0.12482895057522604,0.5431689490316027,247.4534568786621,247.4534568786621,0.2697371510893524,54076625.000,,
2026-01-23,AMZN,"Amazon.com, Inc.",Consumer Cyclical,234.9600067138672,240.4499969482422,234.57000732421875,239.16000366210938,33778500,2.0568436457892867,3.5324691177962664,233.95249938964844,233.95249938964844,0.969260149935988,40176450.000,92.48260002401753,148.19680484701288
2026-01-23,GOOGL,GOOGL,,332.489990234375,333.69000244140625,327.45001220703125,327.92999267578125,27280000,-0.7896217709409032,1.841612632230202,327.2125015258789,327.2125015258789,1.3859557540886402,31070300.000,,
2026-01-23,JNJ,Johnson & Johnson,Healthcare,219.8000030517578,221.2100067138672,217.83999633789062,220.13999938964844,6950600,0.7551804910984813,0.8844657056960713,218.7125015258789,218.7125015258789,0.42829316285769,12232650.000,89.36066547174688,155.5759713001049
2026-01-23,JPM,JP Morgan Chase & Co.,Financial Services,302.0,302.3699951171875,296.510009765625,297.7200012207031,11107900,-1.9464491542561382,-1.6581849691497657,301.5325012207031,301.5325012207031,1.2669592357226667,11203600.000,88.27872534342569,147.26949011708703
